CLIENTNUM;Attrition_Flag;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Amt_Chng_Q4_Q1;Total_Trans_Amt;Total_Trans_Ct;Total_Ct_Chng_Q4_Q1;Avg_Utilization_Ratio;Customer_Age;Credit_Limit;Age_Group;Average_Transaction_Value;Monthly_Average_Spending;Utilization_Level;Churn_Flag;Customer_Segment;Risk_Score;Risk_Level
720770883;Existing Customer;F;0;Graduate;Single;Less than $40K;Blue;56;5;3;3;0;1438,3;0,76;2249;61;0,564;0;65;1438,3;56+;36,86885246;187,4166667;Low;0;Regular;1;Low Risk
719826333;Existing Customer;F;2;Doctorate;Single;Less than $40K;Blue;13;5;1;2;0;1438,3;0,946;2557;67;0,763;0;34;1438,3;25-35;38,1641791;213,0833333;Low;0;Regular;1;Low Risk
799731033;Existing Customer;F;2;Doctorate;Single;Less than $40K;Blue;28;3;3;2;0;1438,3;0,892;3044;91;0,896;0;34;1438,3;25-35;33,45054945;253,6666667;Low;0;Regular;1;Low Risk
713372583;Existing Customer;F;4;High School;Single;Less than $40K;Blue;19;3;2;0;0;1438,3;0,676;3786;67;0,523;0;42;1438,3;36-45;56,50746269;315,5;Low;0;Regular;1;Low Risk
721498008;Existing Customer;F;3;Uneducated;Single;Less than $40K;Blue;35;5;2;2;0;1438,3;0,978;3966;57;0,781;0;44;1438,3;36-45;69,57894737;330,5;Low;0;Regular;1;Low Risk
821351958;Existing Customer;F;4;College;Married;Less than $40K;Blue;36;6;1;2;0;1438,3;0,785;3308;54;1;0;40;1438,3;36-45;61,25925926;275,6666667;Low;0;Regular;1;Low Risk
713171358;Existing Customer;F;4;College;Single;Less than $40K;Blue;36;6;1;2;0;1438,3;0,749;3880;74;0,721;0;46;1438,3;46-55;52,43243243;323,3333333;Low;0;Regular;1;Low Risk
779331558;Existing Customer;F;2;Unknown;Single;Less than $40K;Blue;27;6;3;3;0;1438,3;0,683;2598;59;0,595;0;45;1438,3;36-45;44,03389831;216,5;Low;0;Regular;1;Low Risk
710197308;Existing Customer;F;2;Graduate;Married;Less than $40K;Blue;28;4;3;0;0;1438,3;1,017;4089;73;0,872;0;39;1438,3;36-45;56,01369863;340,75;Low;0;Regular;1;Low Risk
714571008;Existing Customer;F;3;Unknown;Married;Less than $40K;Blue;36;3;2;3;0;1438,3;1,044;4553;78;1,167;0;49;1438,3;46-55;58,37179487;379,4166667;Low;0;Regular;1;Low Risk
789945933;Existing Customer;F;1;Graduate;Single;Less than $40K;Blue;52;3;3;1;0;1438,3;0,925;3560;67;0,861;0;61;1438,3;56+;53,13432836;296,6666667;Low;0;Regular;1;Low Risk
821424483;Existing Customer;F;1;High School;Single;Less than $40K;Blue;47;4;3;1;0;1438,3;0,826;4242;70;0,458;0;51;1438,3;46-55;60,6;353,5;Low;0;Regular;1;Low Risk
713452533;Existing Customer;F;4;Graduate;Single;Less than $40K;Blue;22;6;3;3;0;1438,3;0,512;3427;64;0,829;0;35;1438,3;25-35;53,546875;285,5833333;Low;0;Regular;1;Low Risk
779926608;Existing Customer;F;2;High School;Married;Less than $40K;Blue;36;6;2;1;0;1438,3;0,909;4697;82;0,907;0;50;1438,3;46-55;57,2804878;391,4166667;Low;0;Potential VIP;1;Low Risk
711445233;Existing Customer;F;5;Uneducated;Single;Less than $40K;Blue;36;6;3;1;0;1438,3;0,813;4653;78;0,95;0;42;1438,3;36-45;59,65384615;387,75;Low;0;Regular;1;Low Risk
766795983;Existing Customer;F;1;Unknown;Single;Less than $40K;Blue;40;4;2;2;0;1438,3;0,756;4692;91;0,596;0;46;1438,3;46-55;51,56043956;391;Low;0;Potential VIP;1;Low Risk
709486158;Existing Customer;F;3;Graduate;Married;Less than $40K;Blue;20;5;1;3;0;1438,3;0,896;4530;72;0,636;0;33;1438,3;25-35;62,91666667;377,5;Low;0;Regular;1;Low Risk
815324433;Existing Customer;F;4;High School;Married;Less than $40K;Blue;41;6;3;1;0;1438,3;0,921;4200;86;0,536;0;46;1438,3;46-55;48,8372093;350;Low;0;Potential VIP;1;Low Risk
793345008;Existing Customer;F;3;Uneducated;Single;Less than $40K;Blue;38;4;1;3;0;1438,3;0,801;4287;80;0,667;0;44;1438,3;36-45;53,5875;357,25;Low;0;Regular;1;Low Risk
788866983;Existing Customer;F;0;Unknown;Single;Less than $40K;Blue;48;5;2;1;0;1438,3;0,923;3383;61;1,103;0;63;1438,3;56+;55,45901639;281,9166667;Low;0;Regular;1;Low Risk
719613783;Existing Customer;F;1;Doctorate;Married;Less than $40K;Blue;42;3;2;2;0;1438,3;0,872;4211;64;0,778;0;51;1438,3;46-55;65,796875;350,9166667;Low;0;Regular;1;Low Risk
712102983;Existing Customer;F;2;College;Married;Less than $40K;Blue;36;6;3;3;0;1438,3;0,634;3832;87;0,673;0;47;1438,3;46-55;44,04597701;319,3333333;Low;0;Regular;1;Low Risk
771079833;Existing Customer;F;3;High School;Single;Less than $40K;Blue;27;3;3;3;0;1438,3;0,845;4332;78;0,696;0;40;1438,3;36-45;55,53846154;361;Low;0;Regular;1;Low Risk
716292033;Existing Customer;F;4;High School;Single;Less than $40K;Blue;36;6;2;3;0;1438,3;0,568;4815;84;0,787;0;37;1438,3;36-45;57,32142857;401,25;Low;0;VIP;1;Low Risk
720491958;Existing Customer;F;3;Uneducated;Single;Less than $40K;Blue;36;4;3;3;0;1438,3;0,734;4302;74;0,762;0;34;1438,3;25-35;58,13513514;358,5;Low;0;Regular;1;Low Risk
817892208;Existing Customer;F;2;Doctorate;Single;Less than $40K;Blue;30;5;1;1;0;1438,3;1,126;4006;72;0,946;0;35;1438,3;25-35;55,63888889;333,8333333;Low;0;Regular;1;Low Risk
708357183;Existing Customer;F;3;Unknown;Single;Less than $40K;Blue;38;4;2;3;0;1438,3;1,001;3511;64;0,882;0;47;1438,3;46-55;54,859375;292,5833333;Low;0;Regular;1;Low Risk
716364408;Existing Customer;F;0;Unknown;Married;Less than $40K;Blue;36;4;1;2;0;1438,3;0,622;4155;62;0,632;0;59;1438,3;56+;67,01612903;346,25;Low;0;Regular;1;Low Risk
710461083;Existing Customer;F;2;Graduate;Single;Less than $40K;Blue;46;4;1;3;0;1438,3;0,622;4333;84;0,826;0;56;1438,3;56+;51,58333333;361,0833333;Low;0;Potential VIP;1;Low Risk
